date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_curr_ip,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_curr_ip,away_pitcher_prev_ip,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_pitcher_adv,away_pitcher_adv,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,fir_result
20170411,PIT,CIN,0,3.38,7,104,12,0,3,0,0.7608,0.7818,0.8368,0.7818,1,1,0.6,0.481,0,0.641975309,0.667,0.42,0.428571429,0.679012346,0
20170411,PHI,NYM,7.2,4.78,5,139.1,2.7,4.87,6.2,92.1,0.805,0.7568,0.6214,0.7568,0,0,0.5,0.438,2.428571429,0.425925926,0.5,0.537,0.571428571,0.450617284,1
20170411,WAS,STL,0,4.57,6,177.1,3.38,0,5.1,0,1.0292,0.7928,0.6232,0.7928,1,1,0.5,0.586,0.571428571,0.740740741,0.333,0.531,0.714285714,0.425925926,1
20170411,TOR,MIL,3.86,3.18,7,195,0,4.86,5,127.2,0.446,0.7782,0.6972,0.7782,0,1,0.167,0.549,0.666666667,0.654320988,0.286,0.451,0.285714286,0.543209877,1
20170411,MIA,ATL,13.5,3.76,3.1,191.1,1.5,3.43,6,191.1,0.541,0.78475,0.6656,0.78475,0,0,0.5,0.491,0.5,0.577639752,0.167,0.422,0.333333333,0.403726708,1
20170411,BOS,BAL,0,4.59,0,68.2,1.29,4.03,7,109.1,0.64,0.8286,0.6776,0.8286,0,1,0.6,0.574,0,0.709876543,0.8,0.549,0.2,0.530864198,0
20170411,COL,SD,0,0,5,0,7.2,5.06,5,178,0.8005,0.86175,0.8212,0.86175,0,0,0.714,0.463,0.25,0.635802469,0.429,0.42,0.625,0.537037037,1
20170411,LAA,TEX,8.44,4.17,5.1,49.2,4.5,3.32,6,200.1,0.92,0.7984,0.94325,0.7984,0,0,0.714,0.457,0.142857143,0.635802469,0.333,0.586,0.833333333,0.561728395,1
20170411,SEA,HOU,3.6,3.54,5,56,3.6,4.06,5,62,0.5586,0.8218,0.657,0.8218,1,1,0.143,0.531,0.375,0.598765432,0.571,0.519,0.375,0.592592593,1
20170411,SF,ARI,10.12,3.81,5.1,203.1,4.76,4.9,5.2,174.1,0.6894,0.7546,0.9052,0.7546,1,0,0.286,0.537,0.125,0.401234568,0.857,0.426,0,0.654320988,0
