,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,pitcher_adv,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_curr_hr,home_prev_hr,away_curr_hr,away_prev_hr,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,park_rating,fir_result
1694,20180822,CWS,MIN,2.69,4.15,69.1,3.51,5.07,158.0,1,0.7148000000000001,0.6092000000000001,0.853,0.7619999999999999,0.04044309815225836,0.03217606148027965,0.043433600055577185,0.04186026197633665,0.379,0.414,0.4841269841269841,0.5925925925925926,0.47600000000000003,0.525,0.5,0.5370370370370371,1.0,1
1695,20180822,OAK,TEX,2.58,5.07,71.0,4.61,2.55,77.2,1,0.8008,0.6157999999999999,0.768,0.7785,0.049407109002585665,0.04497008036910824,0.030552973214706864,0.041463507830651364,0.6,0.46299999999999997,0.5,0.5679012345679012,0.441,0.48100000000000004,0.40625,0.6604938271604939,1.0,1
1696,20180822,SEA,HOU,3.72,5.4,36.2,2.85,3.62,146.2,1,0.8340000000000001,0.8197999999999999,0.8366000000000001,0.9001999999999999,0.038032418780565715,0.03970411318893816,0.04529722551181919,0.046558256985237516,0.5710000000000001,0.48100000000000004,0.7086614173228346,0.5,0.6,0.623,0.4444444444444444,0.5987654320987654,1.0,1
1697,20180822,PIT,ATL,3.49,4.13,150.1,4.24,4.54,188.1,0,0.8059999999999999,0.7354,0.8167500000000001,0.8172499999999999,0.03657405269261769,0.026248417076617646,0.03098124509481372,0.02758522833391973,0.5,0.46299999999999997,0.4724409448818898,0.6172839506172839,0.556,0.444,0.6031746031746031,0.4876543209876543,0.948,1
1698,20180822,WAS,PHI,3.9,2.57,175.1,3.7,6.3,64.1,0,0.8388,0.7148,0.6970000000000001,0.8376000000000001,0.04275831814064341,0.04173431714426287,0.032283298485015224,0.0527294842824569,0.496,0.599,0.6269841269841271,0.654320987654321,0.5479999999999999,0.40700000000000003,0.504,0.5123456790123457,1.057,1
1699,20180822,DET,CHC,4.9,6.0,14.1,3.72,4.33,180.2,1,0.7253999999999999,0.6418,0.8134,0.8072000000000001,0.02805958909180305,0.020418207996443002,0.034992311618539614,0.04022097971586773,0.408,0.395,0.5793650793650794,0.4753086419753086,0.5770000000000001,0.568,0.496,0.6234567901234568,1.169,0
1700,20180822,BOS,CLE,4.0,4.33,27.0,3.39,3.28,200.0,1,0.9356,0.8353999999999999,0.6822,0.6406000000000001,0.05322881719441973,0.05136443037373493,0.03860601929530201,0.03675671291139717,0.698,0.574,0.6377952755905512,0.5246913580246914,0.581,0.63,0.76,0.6419753086419753,1.026,1
1701,20180822,TB,KC,2.68,5.85,20.0,4.76,4.58,98.1,0,0.539,0.5525,0.7026,0.583,0.02276337487256933,0.03148447516527853,0.02735274804228726,0.046132270568891666,0.512,0.494,0.5317460317460317,0.5246913580246914,0.304,0.494,0.6111111111111112,0.3765432098765432,0.902,0
1702,20180822,MIA,NYY,4.28,6.0,0.0,2.61,3.43,186.1,0,0.75,0.5625,0.787,0.9934,0.01873303594250173,0.02263407418854553,0.04372384228133415,0.0433054800496661,0.397,0.475,0.4173228346456693,0.7716049382716049,0.629,0.562,0.7301587301587301,0.5740740740740741,0.848,0
1703,20180822,NYM,SF,3.4,2.97,30.1,6.0,6.0,0.0,1,0.7874,0.6536,0.7170000000000001,0.6392,0.03337693687872944,0.048229315006719765,0.02268629728321801,0.031290265313474896,0.435,0.43200000000000005,0.584,0.6666666666666666,0.49200000000000005,0.395,0.4566929133858268,0.462962962962963,0.858,0
1704,20180822,COL,SD,4.69,3.67,110.1,6.0,6.0,0.0,1,0.8580000000000001,0.8772499999999999,0.6914,0.7203999999999999,0.04960963430800728,0.045174268951989734,0.02257287467908727,0.029884411100094342,0.5479999999999999,0.537,0.68,0.5987654320987654,0.386,0.43799999999999994,0.484375,0.5,1.3319999999999999,1
1705,20180822,ARI,LAA,2.47,6.0,7.1,4.01,4.01,58.1,1,0.8896,0.8097999999999999,0.7127499999999999,0.53725,0.0499318148128754,0.03944091232875637,0.02828182768030729,0.03198228351662425,0.552,0.574,0.8650793650793651,0.6666666666666666,0.5,0.494,0.5590551181102362,0.462962962962963,1.202,1
1706,20180822,LAD,STL,3.19,6.0,9.1,2.96,6.33,21.1,2,0.8398,0.852,0.8362499999999999,0.82375,0.04464825781842437,0.05511027186273888,0.048693030475710664,0.04488349103286026,0.532,0.642,0.5748031496062992,0.5679012345679012,0.5479999999999999,0.512,0.5433070866141733,0.4506172839506173,0.971,0
